,Family Name,Algorithm Name,Year,n = 10^6,Relative Improvement
0,All-Pairs Shortest Paths (APSP),Shimbel Algorithm,1953.0,1000000000000000000000000,1
1,All-Pairs Shortest Paths (APSP),Floyd–Warshall algorithm,1962.0,1000000000000000000,5.999999999999999
2,All-Pairs Shortest Paths (APSP),"Awerbuch, Berger, Cohen, Peleg",1993.0,1318256738556.4075,11.879999999999999
3,All-Pairs Shortest Paths (APSP),Thorup,1999.0,1000000000000,11.999999999999998
4,All-Pairs Shortest Paths (APSP),Thorup,2024.0,1000000000000,11.999999999999998
